displayId,question,answer,answerImageQuery,reason
Q123,Where is glass blocks not used?,columns,columns construction system diagram photo,construction tool/detail/system is visually helpful
Q176,A specialized fastener used to hold mitered joints together is,Miter joint fastener,Miter joint fastener construction detail photo,construction tool/detail/system is visually helpful
Q177,A joint produced by lapping two pieces of materials,Lap joint,Lap joint construction detail photo,construction tool/detail/system is visually helpful
Q178,Visible choices from the continuation:,wedged through mortise and tenon,wedged through mortise and tenon construction detail photo,construction tool/detail/system is visually helpful
Q180,Which among the following has the most rigid frame?,mortise and tenon,mortise and tenon construction detail photo,construction tool/detail/system is visually helpful
Q186,A method of joinery that involves inserting a compressed wood chips in slots.,Biscuit joint,Biscuit joint construction detail photo,construction tool/detail/system is visually helpful
Q203,"A rigid, relatively slender structural member designed primarily to support axial, compressive loads applied at the member ends",Column,Column construction system diagram photo,construction tool/detail/system is visually helpful
Q211,"When the ratio of short span to the long span of a slab is less than 0.50, slab is a",One-way slab,One-way slab construction system diagram photo,construction tool/detail/system is visually helpful
Q213,A type of concrete floor which has no beam is called,Flat slab,Flat slab construction system diagram photo,construction tool/detail/system is visually helpful
Q223,A three-dimensional structural system without bearing walls composed of interconnected laterally supported so as to function as a complete self-contained unit with or without the aids of horizontal diaphragms or floor-bracing system,Space frame,Space frame construction system diagram photo,construction tool/detail/system is visually helpful
Q321,What will you use if you want a column-free space or to minimize the use of columns on your designed building?,e. Space Frame Construction,e. Space Frame Construction construction system diagram photo,construction tool/detail/system is visually helpful
Q356,Identify,Miter Saw,Miter Saw construction tool photo,construction tool/detail/system is visually helpful
Q357,Identify,chisel,chisel construction tool photo,construction tool/detail/system is visually helpful
Q358,Identify,Spade bit,Spade bit construction tool photo,construction tool/detail/system is visually helpful
Q364,Identify,bush hammer,bush hammer construction tool photo,construction tool/detail/system is visually helpful
Q368,Identify:,Jigsaw,Jigsaw construction tool photo,construction tool/detail/system is visually helpful
Q369,Identify:,Vibratory Rammer,Vibratory Rammer construction tool photo,construction tool/detail/system is visually helpful
Q372,Identify:,concrete spacer,concrete spacer construction visual reference,construction tool/detail/system is visually helpful
Q373,Identify:,chisel,chisel construction tool photo,construction tool/detail/system is visually helpful
Q376,Identify:,Power Trowel,Power Trowel construction tool photo,construction tool/detail/system is visually helpful
Q378,Identify:,Auger Bit,Auger Bit construction tool photo,construction tool/detail/system is visually helpful
Q379,Identify:,Jack Base,Jack Base construction equipment photo,construction tool/detail/system is visually helpful
Q381,Identify what type of construction system.,Bubbledeck,Bubbledeck construction system diagram photo,construction tool/detail/system is visually helpful
Q383,Identify what type of slab:,Waffle Slab,Waffle Slab construction system diagram photo,construction tool/detail/system is visually helpful
Q386,Identify:,Bench Drill,Bench Drill construction tool photo,construction tool/detail/system is visually helpful
Q388,Identify what type of structural system:,Diagrid,Diagrid construction system diagram photo,construction tool/detail/system is visually helpful
Q389,Identify what tool:,Belt Sander,Belt Sander construction tool photo,construction tool/detail/system is visually helpful
