displayId,item,recommendedAssetFilename,source1,source2,status,note
Q107,turnbuckle,assets/BM-107.jpg,https://khmtools.com.ph/products/mega-turnbuckle,https://khmtools.com.ph/products/megatools-turnbuckle,READY_FOR_SCREENSHOT_CROP,Use close-up product photo of the metal turnbuckle only.
Q218,casement window lock,assets/BM-218.jpg,https://www.rejuvenation.com/products/casement-window-lock/,https://www.reflectwindow.com/products/window-security-sash-lock-low-profile,READY_FOR_SCREENSHOT_CROP,Use actual casement/window lock hardware product photo.
Q219,sliding door lock,assets/BM-219.jpg,https://gmfhardware.ph/products/sliding-lock-265m,https://www.homedepot.com/p/Prime-Line-Sliding-Door-Lock-3-11-16-in-Steel-Mortise-Style-E-2014/100174543,READY_FOR_SCREENSHOT_CROP,Use actual sliding door lock product photo.
Q220,flush bolt,assets/BM-220.jpg,https://mucheln.co.uk/products/brushed-brass-flush-door-bolt-128mm,https://www.grainger.com/product/KABA-ILCO-Door-Bolt-Flush-Bolt-20VF07,READY_FOR_SCREENSHOT_CROP,"Use flush bolt product photo, not surface barrel bolt."
Q224,butterfly hinge,assets/BM-224.jpg,https://www.monsoonhardware.com/butterfly-hinge-m21003-product/,https://www.houseofantiquehardware.com/butterfly-hinges,READY_FOR_SCREENSHOT_CROP,Use actual butterfly hinge product photo.
Q231,rebar cap,assets/BM-231.jpg,https://www.lowes.com/pd/Blue-Hawk-3-to-7-Plastic-Rebar-Safety-Cap/4067490,https://surebuilt-usa.com/products/rebar-safety-cap/,READY_FOR_SCREENSHOT_CROP,Use orange/yellow rebar safety cap product photo.
Q240,rimlock,assets/BM-240.jpg,https://gmfhardware.ph/products/rim-lock,https://www.abhardware.co.uk/products/pewter-polished-brass-olde-victorian-rim-lock,READY_FOR_SCREENSHOT_CROP,Use modern rim lock hardware product photo.
Q246,hasp and staple,assets/BM-246.jpg,https://khmtools.com.ph/products/wadfow-wan21-hasp-and-staple,https://www.screwfix.com/c/security-ironmongery/hasps-staples/cat840806,READY_FOR_SCREENSHOT_CROP,Use actual hasp and staple product photo.
Q247,lever lock,assets/BM-247.jpg,https://www.uniononline.co.uk/en/products/mortice-locks/deadlocks/2100-5-lever-deadlock,https://commons.wikimedia.org/wiki/File:Lever_Lock_and_Key.jpg,READY_FOR_SCREENSHOT_CROP,Use actual lever lock / mortice lock product photo.
Q248,lid stay,assets/BM-248.jpg,https://www.hafele.com/us/en/product/lid-stay-door-restraint/P-00870534/,https://www.rockler.com/soft-down-lid-support,READY_FOR_SCREENSHOT_CROP,Use actual lid stay/support hardware product photo.
Q260,glass spider fitting,assets/BM-260.jpg,https://www.luju-ltd.com/en/product-632794/Spider-Fitting.html,https://www.glasxperts.com/glass-spider-fitting/,READY_FOR_SCREENSHOT_CROP,Use stainless steel glass spider fitting product photo.
Q263,glass railing spigot,assets/BM-263.jpg,https://glasswarehouse.us/products/glass-railing-systems/glass-railing-spigots/dorado-round-baseplate-spigot/,https://glassrailingstore.com/en-us/products/glass-railing-spigot,READY_FOR_SCREENSHOT_CROP,Use standalone glass railing spigot product photo or spigot holding glass clearly.
