displayId,answer,recommendedAssetFilename,status,note
Q107,b. turnbuckle,assets/BM-107.jpg,SKIPPED_UNTIL_LOCAL_IMAGE,Use close-up product photo of the metal turnbuckle only.
Q218,a. Casement window lock,assets/BM-218.jpg,SKIPPED_UNTIL_LOCAL_IMAGE,Use actual casement/window lock hardware product photo.
Q219,a. Sliding door lock,assets/BM-219.jpg,SKIPPED_UNTIL_LOCAL_IMAGE,Use actual sliding door lock product photo.
Q220,b. Flush bolt,assets/BM-220.jpg,SKIPPED_UNTIL_LOCAL_IMAGE,"Use flush bolt product photo, not surface barrel bolt."
Q224,d. Butterfly hinge,assets/BM-224.jpg,SKIPPED_UNTIL_LOCAL_IMAGE,Use actual butterfly hinge product photo.
Q231,a. Rebar Cap,assets/BM-231.jpg,SKIPPED_UNTIL_LOCAL_IMAGE,Use orange/yellow rebar safety cap product photo.
Q240,b. Rimlock,assets/BM-240.jpg,SKIPPED_UNTIL_LOCAL_IMAGE,Use modern rim lock hardware product photo.
Q246,b. hasp and staple,assets/BM-246.jpg,SKIPPED_UNTIL_LOCAL_IMAGE,Use actual hasp and staple product photo.
Q247,b. Lever Lock,assets/BM-247.jpg,SKIPPED_UNTIL_LOCAL_IMAGE,Use actual lever lock / mortice lock product photo.
Q248,b. Lid Stay,assets/BM-248.jpg,SKIPPED_UNTIL_LOCAL_IMAGE,Use actual lid stay/support hardware product photo.
Q260,d. glass spider,assets/BM-260.jpg,SKIPPED_UNTIL_LOCAL_IMAGE,Use stainless steel glass spider fitting product photo.
Q263,c. glass railing spigot,assets/BM-263.jpg,SKIPPED_UNTIL_LOCAL_IMAGE,Use standalone glass railing spigot product photo or spigot holding glass clearly.
