displayId,needsImage,imageAdded,qualityStatus,recommendedAssetFilename,note
Q107,yes,no,READY_FOR_PERSONAL_STUDY_SCREENSHOT,assets/BM-107.jpg,Use close-up product photo of the metal turnbuckle only.
Q218,yes,no,READY_FOR_PERSONAL_STUDY_SCREENSHOT,assets/BM-218.jpg,Use actual casement/window lock hardware product photo.
Q219,yes,no,READY_FOR_PERSONAL_STUDY_SCREENSHOT,assets/BM-219.jpg,Use actual sliding door lock product photo.
Q220,yes,no,READY_FOR_PERSONAL_STUDY_SCREENSHOT,assets/BM-220.jpg,"Use flush bolt product photo, not surface barrel bolt."
Q224,yes,no,READY_FOR_PERSONAL_STUDY_SCREENSHOT,assets/BM-224.jpg,Use actual butterfly hinge product photo.
Q231,yes,no,READY_FOR_PERSONAL_STUDY_SCREENSHOT,assets/BM-231.jpg,Use orange/yellow rebar safety cap product photo.
Q240,yes,no,READY_FOR_PERSONAL_STUDY_SCREENSHOT,assets/BM-240.jpg,Use modern rim lock hardware product photo.
Q246,yes,no,READY_FOR_PERSONAL_STUDY_SCREENSHOT,assets/BM-246.jpg,Use actual hasp and staple product photo.
Q247,yes,no,READY_FOR_PERSONAL_STUDY_SCREENSHOT,assets/BM-247.jpg,Use actual lever lock / mortice lock product photo.
Q248,yes,no,READY_FOR_PERSONAL_STUDY_SCREENSHOT,assets/BM-248.jpg,Use actual lid stay/support hardware product photo.
Q260,yes,no,READY_FOR_PERSONAL_STUDY_SCREENSHOT,assets/BM-260.jpg,Use stainless steel glass spider fitting product photo.
Q263,yes,no,READY_FOR_PERSONAL_STUDY_SCREENSHOT,assets/BM-263.jpg,Use standalone glass railing spigot product photo or spigot holding glass clearly.
